# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
1.022999999999999951e-02 1.040000000000000057e-39
1.047000000000000014e-02 1.020000000000000075e-39
1.072000000000000036e-02 9.999999999999999293e-40
1.097000000000000058e-02 9.813999999999999507e-40
1.122000000000000081e-02 9.627999999999999721e-40
1.148000000000000062e-02 9.447000000000000297e-40
1.175000000000000003e-02 9.270000000000000185e-40
1.203000000000000076e-02 9.098000000000000435e-40
1.230999999999999976e-02 8.930999999999999417e-40
1.260000000000000009e-02 8.767999999999999341e-40
1.289000000000000042e-02 8.609000000000000208e-40
1.319000000000000034e-02 8.454999999999999806e-40
1.349999999999999985e-02 8.305000000000000347e-40
1.380999999999999936e-02 8.159000000000000199e-40
1.413999999999999979e-02 8.016999999999999362e-40
1.447000000000000022e-02 7.878999999999999468e-40
1.480000000000000066e-02 7.745000000000000517e-40
1.515000000000000027e-02 7.613999999999999825e-40
1.549999999999999989e-02 7.487999999999999497e-40
1.585999999999999910e-02 7.365000000000000691e-40
1.623000000000000137e-02 7.245000000000000144e-40
1.660999999999999976e-02 7.129999999999999961e-40
1.700000000000000122e-02 7.017000000000000249e-40
1.739999999999999880e-02 6.909000000000000083e-40
1.779999999999999985e-02 6.803000000000000389e-40
1.822000000000000008e-02 6.701000000000000007e-40
1.864000000000000032e-02 6.602000000000000331e-40
1.907999999999999974e-02 6.506999999999999967e-40
1.951999999999999916e-02 6.414000000000000073e-40
1.998000000000000123e-02 6.325000000000000307e-40
2.044999999999999943e-02 6.238999999999999617e-40
2.092000000000000109e-02 6.155999999999999633e-40
2.140999999999999848e-02 6.076000000000000357e-40
2.190999999999999892e-02 5.999000000000000156e-40
2.241999999999999896e-02 5.924999999999999846e-40
2.295000000000000165e-02 5.853000000000000008e-40
2.348000000000000087e-02 5.785000000000000297e-40
2.402999999999999928e-02 5.719000000000000241e-40
2.459000000000000075e-02 5.657000000000000312e-40
2.517000000000000140e-02 5.597000000000000039e-40
2.574999999999999858e-02 5.539000000000000237e-40
2.634999999999999842e-02 5.484999999999999747e-40
2.697000000000000092e-02 5.432999999999999728e-40
2.759999999999999953e-02 5.383000000000000180e-40
2.824000000000000121e-02 5.335999999999999708e-40
2.889999999999999861e-02 5.291999999999999942e-40
2.957999999999999866e-02 5.251000000000000068e-40
3.026999999999999830e-02 5.210999999999999614e-40
3.097000000000000100e-02 5.175000000000000103e-40
3.169999999999999901e-02 5.140000000000000012e-40
3.243999999999999662e-02 5.107999999999999812e-40
3.318999999999999728e-02 5.079000000000000319e-40
3.397000000000000020e-02 5.051999999999999666e-40
3.475999999999999923e-02 5.027000000000000300e-40
3.556999999999999745e-02 5.003999999999999773e-40
3.640000000000000180e-02 4.983999999999999954e-40
3.724999999999999839e-02 4.965000000000000371e-40
3.812000000000000111e-02 4.948999999999999863e-40
3.901000000000000301e-02 4.934999999999999826e-40
3.991999999999999715e-02 4.923000000000000261e-40
4.084999999999999742e-02 4.913000000000000352e-40
4.180999999999999994e-02 4.905000000000000098e-40
4.277999999999999858e-02 4.899000000000000315e-40
4.377999999999999947e-02 4.895000000000000188e-40
4.479999999999999954e-02 4.892000000000000297e-40
4.585000000000000187e-02 4.891000000000000061e-40
4.692000000000000337e-02 4.892000000000000297e-40
4.800999999999999712e-02 4.893999999999999952e-40
4.913000000000000006e-02 4.898000000000000079e-40
5.027999999999999831e-02 4.902999999999999626e-40
5.145000000000000268e-02 4.909999999999999645e-40
5.265999999999999848e-02 4.916999999999999663e-40
5.387999999999999734e-02 4.926000000000000153e-40
5.514000000000000151e-02 4.934999999999999826e-40
5.643000000000000099e-02 4.945999999999999972e-40
5.775000000000000272e-02 4.957000000000000117e-40
5.908999999999999669e-02 4.968000000000000262e-40
6.047000000000000292e-02 4.981000000000000063e-40
6.187999999999999751e-02 4.992999999999999628e-40
6.332999999999999741e-02 5.006000000000000245e-40
6.481000000000000649e-02 5.019000000000000046e-40
6.632000000000000395e-02 5.031999999999999846e-40
6.786999999999999977e-02 5.044000000000000227e-40
6.944999999999999785e-02 5.055999999999999793e-40
7.106999999999999429e-02 5.068000000000000173e-40
7.273000000000000298e-02 5.079000000000000319e-40
7.442999999999999616e-02 5.089000000000000228e-40
7.617000000000000159e-02 5.097999999999999902e-40
7.793999999999999539e-02 5.106000000000000156e-40
7.975999999999999757e-02 5.113000000000000174e-40
8.162999999999999423e-02 5.117999999999999721e-40
8.352999999999999314e-02 5.121999999999999848e-40
8.548000000000000043e-02 5.124000000000000320e-40
8.747000000000000608e-02 5.124000000000000320e-40
8.952000000000000235e-02 5.121999999999999848e-40
9.160999999999999699e-02 5.118999999999999957e-40
9.374000000000000388e-02 5.113000000000000174e-40
9.593000000000000138e-02 5.104999999999999920e-40
9.816999999999999338e-02 5.093999999999999775e-40
1.005000000000000060e-01 5.082000000000000210e-40
1.028000000000000025e-01 5.066999999999999938e-40
1.052000000000000018e-01 5.048999999999999774e-40
1.077000000000000041e-01 5.028999999999999955e-40
1.102000000000000063e-01 5.006999999999999665e-40
1.126999999999999946e-01 4.982000000000000299e-40
1.154000000000000026e-01 4.954000000000000226e-40
1.180999999999999966e-01 4.923999999999999681e-40
1.208000000000000046e-01 4.892000000000000297e-40
1.236000000000000015e-01 4.857000000000000206e-40
1.265000000000000013e-01 4.819999999999999643e-40
1.295000000000000040e-01 4.781000000000000240e-40
1.325000000000000067e-01 4.739000000000000131e-40
1.355999999999999983e-01 4.695999999999999785e-40
1.388000000000000067e-01 4.650000000000000365e-40
1.419999999999999873e-01 4.601999999999999657e-40
1.453000000000000125e-01 4.553000000000000344e-40
1.486999999999999988e-01 4.501999999999999745e-40
1.522000000000000020e-01 4.449000000000000306e-40
1.557000000000000051e-01 4.394999999999999816e-40
1.593999999999999861e-01 4.339999999999999905e-40
1.630999999999999950e-01 4.283000000000000339e-40
1.668999999999999928e-01 4.224999999999999722e-40
1.708000000000000074e-01 4.165999999999999684e-40
1.748000000000000109e-01 4.106000000000000227e-40
1.789000000000000035e-01 4.045999999999999954e-40
1.829999999999999960e-01 3.985000000000000261e-40
1.872999999999999943e-01 3.923000000000000332e-40
1.917000000000000093e-01 3.861000000000000403e-40
1.960999999999999965e-01 3.798000000000000239e-40
2.006999999999999895e-01 3.735000000000000074e-40
2.053999999999999992e-01 3.671999999999999910e-40
2.101999999999999980e-01 3.609000000000000153e-40
2.151000000000000134e-01 3.545999999999999989e-40
2.200999999999999901e-01 3.482999999999999825e-40
2.253000000000000003e-01 3.420999999999999896e-40
2.305000000000000104e-01 3.358000000000000139e-40
2.358999999999999986e-01 3.295999999999999803e-40
2.414000000000000035e-01 3.233999999999999874e-40
2.470999999999999863e-01 3.173000000000000181e-40
2.528000000000000247e-01 3.112000000000000080e-40
2.586999999999999855e-01 3.050999999999999979e-40
2.647999999999999798e-01 2.991999999999999942e-40
2.708999999999999742e-01 2.932000000000000077e-40
2.772999999999999909e-01 2.873999999999999867e-40
2.837000000000000077e-01 2.816000000000000065e-40
2.903999999999999915e-01 2.759000000000000091e-40
2.970999999999999752e-01 2.702000000000000117e-40
3.040999999999999814e-01 2.646999999999999799e-40
3.111999999999999766e-01 2.591999999999999889e-40
3.184000000000000163e-01 2.537999999999999806e-40
3.259000000000000230e-01 2.484000000000000131e-40
3.335000000000000187e-01 2.432000000000000112e-40
3.412000000000000033e-01 2.380000000000000093e-40
3.492000000000000104e-01 2.328999999999999901e-40
3.573999999999999955e-01 2.278999999999999946e-40
3.657000000000000250e-01 2.229999999999999818e-40
3.741999999999999771e-01 2.181000000000000098e-40
3.830000000000000071e-01 2.134000000000000033e-40
3.919000000000000261e-01 2.086999999999999969e-40
4.011000000000000121e-01 2.041000000000000140e-40
4.103999999999999870e-01 1.996000000000000139e-40
4.199999999999999845e-01 1.951999999999999966e-40
4.298000000000000154e-01 1.909000000000000029e-40
4.398000000000000242e-01 1.866000000000000092e-40
4.501000000000000001e-01 1.823999999999999982e-40
4.606000000000000094e-01 1.782999999999999904e-40
4.713999999999999857e-01 1.743000000000000062e-40
4.823999999999999955e-01 1.704000000000000048e-40
4.935999999999999832e-01 1.665000000000000033e-40
5.050999999999999934e-01 1.627000000000000051e-40
5.169000000000000261e-01 1.590000000000000100e-40
5.290000000000000258e-01 1.553999999999999977e-40
5.413000000000000034e-01 1.518000000000000057e-40
5.540000000000000480e-01 1.482999999999999966e-40
5.668999999999999595e-01 1.448999999999999907e-40
5.800999999999999490e-01 1.415000000000000051e-40
5.937000000000000055e-01 1.383000000000000055e-40
6.075000000000000400e-01 1.350000000000000027e-40
6.217000000000000304e-01 1.319000000000000063e-40
6.361999999999999877e-01 1.288000000000000098e-40
6.511000000000000121e-01 1.257999999999999962e-40
6.663000000000000034e-01 1.229000000000000061e-40
6.817999999999999616e-01 1.199999999999999956e-40
6.976999999999999869e-01 1.172000000000000087e-40
7.139999999999999680e-01 1.144000000000000014e-40
7.307000000000000162e-01 1.116999999999999972e-40
7.477000000000000313e-01 1.089999999999999931e-40
7.651999999999999913e-01 1.064999999999999953e-40
7.830000000000000293e-01 1.038999999999999944e-40
8.013000000000000123e-01 1.014999999999999998e-40
8.199999999999999512e-01 9.902999999999999681e-41
8.391999999999999460e-01 9.665999999999999703e-41
8.588000000000000078e-01 9.434000000000000904e-41
8.788000000000000256e-01 9.206999999999999205e-41
8.992999999999999883e-01 8.985999999999999531e-41
9.203000000000000069e-01 8.769000000000000188e-41
9.417999999999999705e-01 8.556999999999999985e-41
9.637999999999999901e-01 8.349999999999999940e-41
9.862999999999999545e-01 8.147000000000000226e-41
1.008999999999999897e+00 7.948999999999999651e-41
1.032999999999999918e+00 7.755000000000000426e-41
1.056999999999999940e+00 7.564999999999999494e-41
1.082000000000000073e+00 7.379999999999999739e-41
1.106999999999999984e+00 7.199000000000000316e-41
1.133000000000000007e+00 7.022000000000000203e-41
1.159000000000000030e+00 6.849000000000000422e-41
1.185999999999999943e+00 6.679000000000000124e-41
1.213999999999999968e+00 6.513999999999999985e-41
1.241999999999999993e+00 6.352000000000000349e-41
1.270999999999999908e+00 6.194000000000000024e-41
1.300999999999999934e+00 6.039000000000000202e-41
1.330999999999999961e+00 5.887999999999999691e-41
1.362000000000000099e+00 5.739999999999999684e-41
1.393999999999999906e+00 5.595000000000000179e-41
1.427000000000000046e+00 5.453999999999999986e-41
1.459999999999999964e+00 5.316000000000000296e-41
1.493999999999999995e+00 5.181000000000000090e-41
1.528999999999999915e+00 5.049000000000000386e-41
1.564999999999999947e+00 4.920000000000000166e-41
1.600999999999999979e+00 4.794000000000000449e-41
1.637999999999999901e+00 4.670000000000000388e-41
1.677000000000000046e+00 4.550000000000000147e-41
1.715999999999999970e+00 4.432000000000000072e-41
1.756000000000000005e+00 4.316999999999999991e-41
1.796999999999999931e+00 4.204000000000000075e-41
1.838999999999999968e+00 4.094000000000000152e-41
1.881999999999999895e+00 3.987000000000000222e-41
1.925999999999999934e+00 3.881999999999999948e-41
1.971000000000000085e+00 3.778999999999999840e-41
2.016999999999999904e+00 3.679000000000000234e-41
2.064000000000000057e+00 3.580999999999999775e-41
2.112000000000000099e+00 3.484999999999999990e-41
2.161000000000000032e+00 3.390999999999999861e-41
2.212000000000000188e+00 3.300000000000000236e-41
2.262999999999999901e+00 3.210999999999999756e-41
2.315999999999999837e+00 3.123999999999999951e-41
2.370000000000000107e+00 3.038999999999999802e-41
2.424999999999999822e+00 2.955999999999999819e-41
2.482000000000000206e+00 2.874000000000000173e-41
2.540000000000000036e+00 2.795000000000000010e-41
2.599000000000000199e+00 2.718000000000000013e-41
2.660000000000000142e+00 2.643000000000000182e-41
2.721999999999999975e+00 2.569000000000000178e-41
2.785000000000000142e+00 2.498000000000000168e-41
2.850000000000000089e+00 2.427999999999999985e-41
2.916999999999999815e+00 2.359999999999999968e-41
2.984999999999999876e+00 2.294000000000000116e-41
3.055000000000000160e+00 2.229000000000000092e-41
3.125999999999999890e+00 2.165999999999999979e-41
3.198999999999999844e+00 2.105000000000000031e-41
3.274000000000000021e+00 2.045999999999999993e-41
3.350000000000000089e+00 1.988000000000000038e-41
3.427999999999999936e+00 1.930999999999999912e-41
3.508000000000000007e+00 1.875999999999999950e-41
3.589999999999999858e+00 1.822999999999999899e-41
3.673999999999999932e+00 1.770999999999999931e-41
3.759999999999999787e+00 1.720999999999999873e-41
3.846999999999999975e+00 1.671999999999999898e-41
3.936999999999999833e+00 1.625000000000000089e-41
4.028999999999999915e+00 1.579000000000000107e-41
4.123000000000000220e+00 1.533999999999999954e-41
4.219000000000000306e+00 1.489999999999999882e-41
4.317999999999999616e+00 1.447999999999999977e-41
4.418999999999999595e+00 1.406999999999999899e-41
4.522000000000000242e+00 1.367999999999999986e-41
4.626999999999999780e+00 1.329000000000000074e-41
4.735000000000000320e+00 1.292000000000000072e-41
4.846000000000000085e+00 1.255999999999999898e-41
4.958999999999999631e+00 1.221000000000000062e-41
5.075000000000000178e+00 1.187000000000000053e-41
5.192999999999999616e+00 1.154999999999999955e-41
5.314000000000000057e+00 1.122999999999999984e-41
5.437999999999999723e+00 1.091999999999999969e-41
5.565000000000000391e+00 1.062000000000000036e-41
5.695000000000000284e+00 1.033000000000000059e-41
5.828000000000000291e+00 1.005000000000000037e-41
5.964000000000000412e+00 9.782000000000000122e-42
6.102999999999999758e+00 9.519999999999999861e-42
6.246000000000000441e+00 9.266000000000000007e-42
6.392000000000000348e+00 9.020000000000000559e-42
6.541000000000000369e+00 8.782000000000000244e-42
6.692999999999999616e+00 8.550999999999999488e-42
6.849999999999999645e+00 8.326999999999999567e-42
7.009999999999999787e+00 8.111000000000000052e-42
7.173000000000000043e+00 7.901000000000000523e-42
7.341000000000000192e+00 7.698000000000000554e-42
7.511999999999999567e+00 7.501000000000000572e-42
7.687000000000000277e+00 7.310000000000000576e-42
7.866999999999999993e+00 7.125000000000000567e-42
8.050000000000000711e+00 6.944999999999999697e-42
8.237999999999999545e+00 6.771999999999999660e-42
8.429999999999999716e+00 6.603000000000000465e-42
8.627000000000000668e+00 6.439000000000000408e-42
8.829000000000000625e+00 6.279999999999999491e-42
9.035000000000000142e+00 6.126000000000000261e-42
9.246000000000000441e+00 5.977000000000000171e-42
9.461000000000000298e+00 5.831000000000000074e-42
9.682000000000000384e+00 5.689999999999999754e-42
9.907999999999999474e+00 5.553999999999999847e-42
1.014000000000000057e+01 5.420999999999999933e-42
1.038000000000000078e+01 5.292000000000000223e-42
1.061999999999999922e+01 5.165999999999999868e-42
1.086999999999999922e+01 5.043999999999999718e-42
1.111999999999999922e+01 4.925999999999999770e-42
1.138000000000000078e+01 4.810000000000000243e-42
1.164000000000000057e+01 4.698000000000000282e-42
1.191999999999999993e+01 4.589000000000000315e-42
1.218999999999999950e+01 4.482999999999999703e-42
1.248000000000000043e+01 4.379999999999999722e-42
1.276999999999999957e+01 4.279000000000000161e-42
1.307000000000000028e+01 1.124000000000000109e-31
1.336999999999999922e+01 1.944999999999999934e-31
1.368999999999999950e+01 4.022999999999999754e-31
1.400999999999999979e+01 6.819999999999999903e-31
1.433000000000000007e+01 1.142000000000000046e-30
1.466999999999999993e+01 1.738000000000000159e-30
1.500999999999999979e+01 2.822000000000000151e-30
1.535999999999999943e+01 4.528999999999999789e-30
1.572000000000000064e+01 7.188000000000000263e-30
1.607999999999999829e+01 1.128000000000000038e-29
1.646000000000000085e+01 1.771999999999999923e-29
1.683999999999999986e+01 2.716999999999999862e-29
1.723999999999999844e+01 4.123999999999999895e-29
1.764000000000000057e+01 6.197999999999999900e-29
1.805000000000000071e+01 9.221999999999999704e-29
1.846999999999999886e+01 1.358999999999999917e-28
1.889999999999999858e+01 1.983999999999999941e-28
1.935000000000000142e+01 2.871000000000000043e-28
1.980000000000000071e+01 4.155000000000000038e-28
2.026000000000000156e+01 5.900999999999999679e-28
2.073000000000000043e+01 8.307999999999999235e-28
2.121999999999999886e+01 1.160000000000000052e-27
2.171000000000000085e+01 1.605999999999999966e-27
2.221999999999999886e+01 2.207000000000000122e-27
2.273999999999999844e+01 3.007999999999999892e-27
2.326999999999999957e+01 4.068000000000000048e-27
2.380999999999999872e+01 5.461999999999999659e-27
2.437000000000000099e+01 7.344999999999999867e-27
2.492999999999999972e+01 9.713999999999999588e-27
2.551999999999999957e+01 1.276000000000000003e-26
2.610999999999999943e+01 1.663999999999999995e-26
2.671999999999999886e+01 2.156999999999999977e-26
2.733999999999999986e+01 2.776999999999999943e-26
2.798000000000000043e+01 3.552999999999999927e-26
2.864000000000000057e+01 4.517000000000000182e-26
2.930000000000000071e+01 5.708000000000000139e-26
2.998999999999999844e+01 7.172000000000000127e-26
3.069000000000000128e+01 8.958000000000000121e-26
3.139999999999999858e+01 1.117000000000000052e-25
3.214000000000000057e+01 1.378999999999999999e-25
3.289000000000000057e+01 1.694000000000000025e-25
3.365999999999999659e+01 2.069000000000000111e-25
3.443999999999999773e+01 2.516000000000000223e-25
3.524000000000000199e+01 3.043000000000000109e-25
3.607000000000000028e+01 3.662000000000000193e-25
3.690999999999999659e+01 4.387000000000000436e-25
3.777000000000000313e+01 5.229999999999999886e-25
3.864999999999999858e+01 6.206999999999999874e-25
3.954999999999999716e+01 7.352000000000000306e-25
4.047999999999999687e+01 8.645999999999999397e-25
4.142000000000000171e+01 1.012000000000000073e-24
4.239000000000000057e+01 1.180999999999999962e-24
4.338000000000000256e+01 1.370999999999999975e-24
4.439000000000000057e+01 1.585999999999999918e-24
4.542999999999999972e+01 1.827000000000000154e-24
4.649000000000000199e+01 2.095999999999999943e-24
4.757000000000000028e+01 2.395999999999999828e-24
4.867999999999999972e+01 2.727999999999999990e-24
4.982000000000000028e+01 3.096000000000000050e-24
5.097999999999999687e+01 3.507000000000000172e-24
5.217000000000000171e+01 3.950000000000000204e-24
5.339000000000000057e+01 4.433000000000000122e-24
5.464000000000000057e+01 4.957000000000000108e-24
5.590999999999999659e+01 5.524999999999999969e-24
5.721999999999999886e+01 6.136000000000000259e-24
5.854999999999999716e+01 6.793000000000000052e-24
5.992000000000000171e+01 7.494000000000000455e-24
6.132000000000000028e+01 8.241000000000000360e-24
6.275000000000000000e+01 9.033999999999999768e-24
6.420999999999999375e+01 9.870999999999999786e-24
6.570999999999999375e+01 1.075000000000000005e-23
6.723999999999999488e+01 1.167000000000000039e-23
6.881000000000000227e+01 1.263999999999999948e-23
7.042000000000000171e+01 1.364000000000000105e-23
7.206000000000000227e+01 1.466999999999999924e-23
7.375000000000000000e+01 1.573999999999999878e-23
7.546999999999999886e+01 1.682999999999999900e-23
7.723000000000000398e+01 1.794999999999999877e-23
7.903000000000000114e+01 1.908999999999999921e-23
8.087999999999999545e+01 2.025000000000000034e-23
8.276000000000000512e+01 2.142000000000000033e-23
8.468999999999999773e+01 2.259000000000000032e-23
8.667000000000000171e+01 2.376000000000000032e-23
8.868999999999999773e+01 2.493000000000000031e-23
9.076000000000000512e+01 2.609000000000000143e-23
9.287999999999999545e+01 2.722999999999999894e-23
9.504999999999999716e+01 2.835999999999999758e-23
9.726999999999999602e+01 2.946000000000000255e-23
9.954000000000000625e+01 3.053000000000000209e-23
1.019000000000000057e+02 3.158999999999999982e-23
1.042000000000000028e+02 3.260000000000000027e-23
1.067000000000000028e+02 3.355999999999999755e-23
1.092000000000000028e+02 3.449000000000000116e-23
1.117000000000000028e+02 3.535999999999999980e-23
1.142999999999999972e+02 3.618999999999999708e-23
1.170000000000000000e+02 3.696999999999999708e-23
1.197000000000000028e+02 3.769999999999999979e-23
1.225000000000000000e+02 3.837999999999999933e-23
1.254000000000000057e+02 3.899999999999999978e-23
1.283000000000000114e+02 3.956999999999999706e-23
1.313000000000000114e+02 4.009000000000000294e-23
1.344000000000000057e+02 4.054999999999999796e-23
1.375000000000000000e+02 4.094999999999999977e-23
1.406999999999999886e+02 4.129999999999999841e-23
1.440000000000000000e+02 4.159999999999999976e-23
1.473000000000000114e+02 4.184999999999999795e-23
1.508000000000000114e+02 4.204999999999999886e-23
1.543000000000000114e+02 4.220000000000000247e-23
1.579000000000000057e+02 4.230999999999999886e-23
1.615999999999999943e+02 4.236999999999999795e-23
1.654000000000000057e+02 4.239000000000000157e-23
1.691999999999999886e+02 4.236000000000000202e-23
1.731999999999999886e+02 4.229000000000000112e-23
1.771999999999999886e+02 4.217999999999999886e-23
1.813000000000000114e+02 4.204000000000000293e-23
1.855999999999999943e+02 4.187000000000000157e-23
1.899000000000000057e+02 4.165999999999999886e-23
1.943000000000000114e+02 4.142000000000000248e-23
1.989000000000000057e+02 4.115000000000000067e-23
2.035000000000000000e+02 4.084999999999999932e-23
2.083000000000000114e+02 4.054000000000000203e-23
2.130999999999999943e+02 4.018999999999999751e-23
2.180999999999999943e+02 3.982999999999999706e-23
2.231999999999999886e+02 3.944999999999999887e-23
2.284000000000000057e+02 3.904000000000000114e-23
2.336999999999999886e+02 3.862999999999999752e-23
2.391999999999999886e+02 3.819000000000000024e-23
2.448000000000000114e+02 3.774999999999999707e-23
2.505000000000000000e+02 3.729000000000000205e-23
2.563000000000000114e+02 3.681999999999999934e-23
2.623000000000000114e+02 3.632999999999999889e-23
2.683999999999999773e+02 3.583999999999999844e-23
2.746999999999999886e+02 3.534999999999999799e-23
2.811000000000000227e+02 3.483999999999999980e-23
2.876999999999999886e+02 3.433000000000000161e-23
2.943999999999999773e+02 3.381999999999999755e-23
3.013000000000000114e+02 3.329999999999999755e-23
3.083000000000000114e+02 3.277999999999999755e-23
3.155000000000000000e+02 3.225000000000000163e-23
3.228999999999999773e+02 3.173000000000000163e-23
3.303999999999999773e+02 3.119999999999999982e-23
3.381000000000000227e+02 3.067999999999999983e-23
3.460000000000000000e+02 3.015999999999999983e-23
3.541000000000000227e+02 2.962999999999999802e-23
3.623000000000000114e+02 2.910999999999999803e-23
3.708000000000000114e+02 2.858999999999999803e-23
3.795000000000000000e+02 2.807999999999999984e-23
3.883000000000000114e+02 2.755999999999999984e-23
3.973999999999999773e+02 2.705999999999999759e-23
4.066000000000000227e+02 2.654999999999999940e-23
4.161000000000000227e+02 2.605000000000000008e-23
4.258999999999999773e+02 2.555000000000000076e-23
4.358000000000000114e+02 2.506000000000000031e-23
4.460000000000000000e+02 2.457999999999999873e-23
4.563999999999999773e+02 2.410000000000000009e-23
4.670000000000000000e+02 2.362000000000000145e-23
4.778999999999999773e+02 2.316000000000000055e-23
4.891000000000000227e+02 2.269999999999999965e-23
5.005000000000000000e+02 2.223999999999999874e-23
5.122000000000000455e+02 2.178999999999999965e-23
5.241000000000000227e+02 2.134999999999999943e-23
5.363999999999999773e+02 2.090999999999999920e-23
5.488999999999999773e+02 2.048000000000000079e-23
5.617000000000000455e+02 2.006000000000000124e-23
5.747999999999999545e+02 1.965000000000000057e-23
5.882000000000000455e+02 1.923999999999999989e-23
6.018999999999999773e+02 1.884000000000000102e-23
6.160000000000000000e+02 1.845000000000000103e-23
6.303999999999999773e+02 1.806000000000000103e-23
6.451000000000000227e+02 1.767999999999999990e-23
6.601000000000000227e+02 1.731000000000000058e-23
6.756000000000000227e+02 1.694000000000000126e-23
6.912999999999999545e+02 1.658999999999999968e-23
7.075000000000000000e+02 1.624000000000000104e-23
7.240000000000000000e+02 1.588999999999999946e-23
7.408999999999999773e+02 1.555999999999999856e-23
7.582000000000000455e+02 1.523000000000000059e-23
7.758999999999999773e+02 1.490999999999999856e-23
7.940000000000000000e+02 1.458999999999999947e-23
8.125000000000000000e+02 1.427999999999999924e-23
8.315000000000000000e+02 1.398000000000000083e-23
8.508999999999999773e+02 1.369000000000000128e-23
8.707000000000000455e+02 1.339999999999999879e-23
8.910000000000000000e+02 1.311999999999999959e-23
9.117999999999999545e+02 1.284000000000000038e-23
9.331000000000000227e+02 1.257000000000000004e-23
9.548999999999999773e+02 1.231000000000000004e-23
